tracking_timestamp_us,yaw_rads_cpf,pitch_rads_cpf,depth_m,yaw_low_rads_cpf,pitch_low_rads_cpf,yaw_high_rads_cpf,pitch_high_rads_cpf
148502622,0.894797,0.039713,,0.808860,-0.017957,0.939902,0.091998
148602622,0.891740,0.051264,,0.789492,-0.011367,0.938861,0.109999
148702622,0.889524,0.042563,,0.787012,-0.021511,0.938538,0.103340
148802622,0.689756,0.017374,,0.363390,-0.120765,0.819958,0.145952
148902622,0.212413,-0.140532,,0.125891,-0.222033,0.279247,-0.052018
149002622,0.194546,-0.233203,,0.161166,-0.261122,0.216033,-0.195920
149102622,0.591465,-0.122405,,0.572531,-0.138301,0.608557,-0.103477
149202622,0.641295,-0.141548,,0.623242,-0.156299,0.658565,-0.122475
149302622,0.544939,-0.145925,,0.526078,-0.162209,0.563031,-0.127068
149402622,0.235400,-0.241108,,0.198217,-0.288198,0.275504,-0.193862
149502622,0.203717,-0.269974,,0.175497,-0.295636,0.223737,-0.243907
149602622,0.084014,-0.235561,,0.062671,-0.262566,0.106449,-0.180428
149702622,0.056876,-0.252438,,0.031973,-0.279613,0.075505,-0.186347
149802622,0.056593,-0.242551,,0.032140,-0.268421,0.073764,-0.180526
149902622,0.055627,-0.237200,,0.034142,-0.260332,0.071817,-0.183760
150002622,0.062168,-0.227459,,0.041344,-0.250710,0.078929,-0.176000
150102622,0.060562,-0.239121,,0.037029,-0.264249,0.077856,-0.181609
150202622,0.061774,-0.250004,,0.038621,-0.275475,0.079609,-0.194033
150302622,0.360338,-0.329716,,0.344535,-0.348456,0.377150,-0.309525
150402622,0.360318,-0.339773,,0.345953,-0.356240,0.375469,-0.321767
150502622,0.354930,-0.327995,,0.340851,-0.343826,0.369309,-0.310435
150602622,0.349636,-0.347365,,0.334407,-0.364463,0.365060,-0.328823
150702622,0.102358,-0.278605,,0.068508,-0.303720,0.119940,-0.231972
150802622,0.102538,-0.298169,,0.068807,-0.324032,0.121400,-0.258942
150902622,0.079254,-0.303282,,0.038462,-0.338124,0.102748,-0.215177
151002622,0.078808,-0.315375,,0.051026,-0.351124,0.113197,-0.240359
151102622,-0.006881,-0.337368,,-0.027023,-0.359401,0.009761,-0.291063
151202622,-0.006155,-0.317869,,-0.021549,-0.336833,0.008965,-0.281674
151302622,0.004513,-0.308041,,-0.015911,-0.328976,0.019973,-0.259283
151402622,0.037475,-0.296807,,0.008440,-0.327171,0.058518,-0.214472
151502622,0.060941,-0.295326,,0.006868,-0.335880,0.087192,-0.201284
151602622,0.068759,-0.284720,,0.036215,-0.330936,0.108803,-0.175504
151702622,0.080018,-0.321174,,0.035869,-0.390734,0.164390,-0.195768
151802622,0.074507,-0.374832,,0.015550,-0.438412,0.135860,-0.222924
151902622,0.064427,-0.375313,,-0.011374,-0.448468,0.132346,-0.219594
152002622,0.066211,-0.353445,,0.016323,-0.421068,0.136418,-0.208833
152102622,0.052898,-0.318181,,-0.001201,-0.398521,0.141509,-0.153627
152202622,0.048925,-0.341624,,0.012873,-0.412075,0.128076,-0.212004
152302622,0.059839,-0.397126,,0.034953,-0.439607,0.098408,-0.321410
152402622,0.061783,-0.429870,,0.040172,-0.459723,0.086921,-0.372012
152502622,0.087979,-0.429348,,0.073749,-0.448797,0.102520,-0.399067
152602622,0.114627,-0.409597,,0.094925,-0.432259,0.130701,-0.352605
152702622,0.120648,-0.405204,,0.097023,-0.430568,0.137834,-0.335224
152802622,0.129188,-0.414222,,0.108762,-0.438433,0.146443,-0.352304
152902622,0.152311,-0.442842,,0.137137,-0.465562,0.169193,-0.409908
153002622,0.165199,-0.449560,,0.147898,-0.472871,0.182151,-0.406325
153102622,0.169183,-0.458219,,0.153950,-0.480317,0.185645,-0.426858
153202622,0.163773,-0.459047,,0.148331,-0.481423,0.180604,-0.427939
153302622,0.191491,-0.493915,,0.174167,-0.520094,0.210314,-0.455449
153402622,0.216938,-0.515869,,0.193925,-0.548825,0.241434,-0.434988
153502622,0.228051,-0.512417,,0.212347,-0.535501,0.244991,-0.480499
153602622,0.240023,-0.486625,,0.222106,-0.513583,0.260602,-0.445476
153702622,0.240042,-0.486162,,0.217291,-0.522700,0.267677,-0.420648
153802622,0.200561,-0.489715,,0.181939,-0.520514,0.223691,-0.435803
153902622,0.200634,-0.478294,,0.182093,-0.509815,0.224032,-0.426065
154002622,0.217696,-0.480456,,0.199804,-0.508360,0.239083,-0.437585
154102622,0.255381,-0.467420,,0.236975,-0.495594,0.277169,-0.424583
154202622,0.319321,-0.495823,,0.303678,-0.512975,0.333808,-0.476195
154302622,0.310770,-0.493363,,0.294772,-0.512090,0.325442,-0.472976
154402622,0.322922,-0.523248,,0.307310,-0.541049,0.337622,-0.504100
154502622,0.317768,-0.529501,,0.302244,-0.546923,0.332281,-0.510289
154602622,0.329931,-0.542579,,0.314267,-0.560565,0.344342,-0.520890
154702622,0.293437,-0.493715,,0.277723,-0.512473,0.308122,-0.472456
154802622,0.247429,-0.476034,,0.213270,-0.509170,0.272904,-0.427165
154902622,0.195649,-0.461590,,0.178452,-0.489101,0.216107,-0.419305
155002622,0.173298,-0.450443,,0.158293,-0.472486,0.189758,-0.420754
155102622,0.163482,-0.436549,,0.146370,-0.464514,0.183992,-0.392731
155202622,0.162249,-0.468067,,0.144260,-0.499592,0.184803,-0.414479
155302622,0.165958,-0.501796,,0.146566,-0.535319,0.189494,-0.442430
155402622,0.183457,-0.551551,,0.165745,-0.576762,0.200661,-0.498761
155502622,0.193151,-0.568948,,0.177857,-0.590580,0.207238,-0.537196
155602622,0.199717,-0.574429,,0.183246,-0.596758,0.213626,-0.538155
155702622,0.209163,-0.587192,,0.192525,-0.608519,0.223037,-0.552849
155802622,0.212536,-0.535578,,0.197454,-0.558199,0.227281,-0.503585
155902622,0.188572,-0.536354,,0.174363,-0.556828,0.202688,-0.508089
156002622,0.169331,-0.520053,,0.150399,-0.547473,0.186635,-0.462377
156102622,0.145501,-0.509033,,0.124679,-0.538393,0.164919,-0.443358
156202622,0.174814,-0.542021,,0.157388,-0.565179,0.189565,-0.501524
156302622,0.179334,-0.584086,,0.159415,-0.613137,0.196950,-0.528579
156402622,0.169091,-0.583795,,0.150234,-0.613375,0.188237,-0.527209
156502622,0.175953,-0.591548,,0.157920,-0.620065,0.194905,-0.537085
156602622,0.178443,-0.584952,,0.160870,-0.611558,0.195904,-0.540009
156702622,0.187730,-0.574450,,0.168714,-0.604631,0.206533,-0.517200
156802622,0.167300,-0.553912,,0.150762,-0.577093,0.182143,-0.519024
156902622,0.150626,-0.560738,,0.130309,-0.586998,0.167425,-0.501633
157002622,0.136414,-0.559218,,0.113406,-0.585858,0.153057,-0.490686
157102622,0.089956,-0.514599,,0.063042,-0.540294,0.106795,-0.441980
157202622,0.040018,-0.483422,,0.018662,-0.507341,0.055089,-0.422542
157302622,0.000525,-0.476077,,-0.025929,-0.502885,0.016434,-0.396350
157402622,-0.024056,-0.348997,,-0.067656,-0.411729,0.029263,-0.178886
157502622,-0.050980,-0.333164,,-0.097723,-0.399094,0.009650,-0.167493
157602622,-0.079924,-0.406426,,-0.132966,-0.457041,-0.051068,-0.229107
157702622,-0.107398,-0.480797,,-0.163128,-0.521967,-0.085274,-0.318556
157802622,-0.097261,-0.512039,,-0.166753,-0.561189,-0.072381,-0.290791
157902622,-0.085555,-0.560451,,-0.168939,-0.620667,-0.054815,-0.267391
158002622,-0.113917,-0.548208,,-0.197359,-0.624022,-0.072930,-0.236375
158102622,-0.090031,-0.613928,,-0.147707,-0.673552,-0.056101,-0.379064
158202622,-0.089795,-0.637096,,-0.130529,-0.690279,-0.056277,-0.471935
158302622,-0.072184,-0.768220,,-0.097779,-0.802852,-0.044988,-0.677168
158402622,-0.052557,-0.768303,,-0.081657,-0.801287,-0.026260,-0.693323
158502622,-0.032649,-0.783916,,-0.062511,-0.816411,-0.005749,-0.703488
158602622,-0.023594,-0.802052,,-0.058511,-0.834775,0.003265,-0.713972
158702622,-0.038877,-0.794377,,-0.071813,-0.828900,-0.010531,-0.706799
158802622,-0.064226,-0.735330,,-0.094243,-0.779256,-0.029668,-0.634316
158902622,-0.110033,-0.729131,,-0.140768,-0.770031,-0.078664,-0.613263
159002622,-0.105891,-0.653622,,-0.160503,-0.705358,-0.072319,-0.460373
159102622,-0.058701,-0.620877,,-0.124393,-0.669390,-0.031605,-0.403023
159202622,-0.016411,-0.486711,,-0.056041,-0.527342,0.008558,-0.353227
159302622,-0.008509,-0.336709,,-0.043601,-0.386849,0.025449,-0.187086
159402622,-0.008898,-0.267326,,-0.060576,-0.325327,0.041749,-0.149973
159502622,-0.009027,-0.280134,,-0.025935,-0.300428,0.006147,-0.247983
159602622,-0.000109,-0.295870,,-0.019902,-0.321503,0.020122,-0.248926
159702622,0.013608,-0.297800,,-0.024702,-0.358559,0.077324,-0.174413
159802622,0.026971,-0.264937,,-0.014594,-0.335395,0.086886,-0.094289
159902622,0.038893,-0.308927,,0.002095,-0.359184,0.076396,-0.176358
160002622,0.039619,-0.311862,,0.000212,-0.360334,0.070936,-0.164192
160102622,0.033519,-0.295853,,-0.006955,-0.354564,0.083216,-0.147196
160202622,0.025299,-0.262447,,-0.021181,-0.339256,0.095728,-0.076221
160302622,0.022351,-0.264242,,-0.012338,-0.321212,0.070590,-0.125779
160402622,0.029171,-0.245463,,-0.011209,-0.313725,0.085246,-0.079229
160502622,0.034723,-0.260272,,0.001193,-0.318846,0.080868,-0.120092
160602622,0.028943,-0.260646,,-0.011373,-0.320136,0.069265,-0.090293
160702622,0.034234,-0.251361,,-0.000549,-0.306856,0.069630,-0.102892
